seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,3,1,1,5,3,1,1,5,1,50.8381953999633,,50.82277189998422,50.8381953999633,50.8381953999633,50.8381953999633,50.8381953999633,50.8381953999633,51.70529039995745,['4'],[0.8630852999631315],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,1,5,3,1,2,6,2,51.72144270001445,,51.705659099970944,51.72144270001445,51.72144270001445,51.72144270001445,51.72144270001445,51.72144270001445,52.58871249994263,['2'],[0.8529131999239326],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,1,5,3,1,3,7,3,52.6046583999414,,52.589091799920425,52.6046583999414,52.6046583999414,52.6046583999414,52.6046583999414,52.6046583999414,53.53920240001753,['3'],[0.9321636999957263],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,2,1,1,5,3,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,1,2,6,2,0,0,0,0,53.55462890001945,,53.542145899962634,53.55462890001945,53.55462890001945,53.55462890001945,53.55462890001945,53.55462890001945,54.339425100013614,['1'],[0.7781049999175593],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,1,2,6,2,0,1,1,1,54.354508099961095,,54.33994299999904,54.354508099961095,54.354508099961095,54.354508099961095,54.354508099961095,54.354508099961095,55.88964169996325,['4'],[1.533613699954003],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,2,6,2,0,2,2,2,55.90458239999134,,55.890054999967106,55.90458239999134,55.90458239999134,55.90458239999134,55.90458239999134,55.90458239999134,56.65664459997788,['2'],[0.7435192000120878],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,2,6,2,0,3,3,3,56.671273799962364,,56.65707720001228,56.671273799962364,56.671273799962364,56.671273799962364,56.671273799962364,56.671273799962364,57.6394681999227,['3'],[0.9607316999463364],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,1,2,6,2,1,0,4,0,57.65476119995583,,57.63988079992123,57.65476119995583,57.65476119995583,57.65476119995583,57.65476119995583,57.65476119995583,58.205847000004724,['1'],[0.5374261999968439],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,1,2,6,2,1,1,5,1,58.22134990000632,,58.20644460001495,58.22134990000632,58.22134990000632,58.22134990000632,58.22134990000632,58.22134990000632,59.17250480002258,['4'],[0.9454368998995051],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,2,6,2,1,2,6,2,59.188041999936104,,59.1729274999816,59.188041999936104,59.188041999936104,59.188041999936104,59.188041999936104,59.188041999936104,59.956788799958304,['2'],[0.7674339000368491],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,2,6,2,1,3,7,3,59.971259900019504,,59.95719129999634,59.971259900019504,59.971259900019504,59.971259900019504,59.971259900019504,59.971259900019504,61.722160600009374,['3'],[1.742871499969624],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,4,1,2,6,2,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,1,3,7,1,0,0,0,0,61.73794719995931,,61.72521980002057,61.73794719995931,61.73794719995931,61.73794719995931,61.73794719995931,61.73794719995931,62.555538399959914,['1'],[0.8093490999890491],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,1,3,7,1,0,1,1,1,62.57132809993345,,62.55604820000008,62.57132809993345,62.57132809993345,62.57132809993345,62.57132809993345,62.57132809993345,63.53951229993254,['4'],[0.9628109999466687],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,3,7,1,0,2,2,2,63.554613600019366,,63.53991299995687,63.554613600019366,63.554613600019366,63.554613600019366,63.554613600019366,63.554613600019366,64.40567719994579,['2'],[0.8364663000684232],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,3,7,1,0,3,3,3,64.42132449999917,,64.4061826999532,64.42132449999917,64.42132449999917,64.42132449999917,64.42132449999917,64.42132449999917,65.3222073999932,['3'],[0.8975771999685094],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,1,3,7,1,1,0,4,0,65.33778539998457,,65.3225716999732,65.33778539998457,65.33778539998457,65.33778539998457,65.33778539998457,65.33778539998457,65.98865800001658,['1'],[0.647244599997066],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,1,3,7,1,1,1,5,1,66.00466929993127,,65.98901949997526,66.00466929993127,66.00466929993127,66.00466929993127,66.00466929993127,66.00466929993127,66.92208199994639,['4'],[0.9124300999101251],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,3,7,1,1,2,6,2,66.93782599992119,,66.92247210000642,66.93782599992119,66.93782599992119,66.93782599992119,66.93782599992119,66.93782599992119,67.93905239994638,['2'],[0.9890992000000551],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,3,7,1,1,3,7,3,67.954611599911,,67.93944659992121,67.954611599911,67.954611599911,67.954611599911,67.954611599911,67.954611599911,69.82292940001935,['3'],[1.8535934999817982],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,1,1,3,7,1,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
